Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2
Bắc Ninh	('21.1527453', '106.111371')	28.06	77	5.74	1005	11/07/2021 03:00	65	1	14	14	48	65	33
Bắc Ninh	('21.1527453', '106.111371')	28.56	85	3.74	1002	11/07/2021 02:00	64	1	10	15	43	64	32
Bắc Ninh	('21.1527453', '106.111371')	29.56	86	4.74	1006	11/07/2021 01:00	61	1	4	15	43	61	33
Bắc Ninh	('21.1527453', '106.111371')	30.16	89	3.74	1006	11/07/2021 00:00	61	1	6	15	44	61	32

Bắc Ninh	('21.1527453', '106.111371')	31.06	62	1.74	1003	03/07/2021 07:00	78	3	23	9	62	78	32
Bắc Ninh	('21.1527453', '106.111371')	30.46	67	6.74	1005	03/07/2021 06:00	73	2	10	11	56	73	31
Bắc Ninh	('21.1527453', '106.111371')	30.06	70	4.74	1006	03/07/2021 05:00	76	1	10	14	53	76	31
Bắc Ninh	('21.1527453', '106.111371')	29.46	74	3.44	1006	03/07/2021 04:00	74	1	6	13	51	74	32
Bắc Ninh	('21.1527453', '106.111371')	27.06	77	5.74	1005	03/07/2021 03:00	68	1	14	14	48	68	33
Bắc Ninh	('21.1527453', '106.111371')	28.56	85	3.74	1002	03/07/2021 02:00	61	1	10	15	43	61	32
Bắc Ninh	('21.1527453', '106.111371')	28.56	86	4.74	1006	03/07/2021 01:00	65	1	4	15	43	65	33
Bắc Ninh	('21.1527453', '106.111371')	28.16	89	3.74	1006	03/07/2021 00:00	63	1	6	15	44	63	32
